email_id,agent_name,true_label,prediction,confidence,rag_retrieved_labels,rag_retrieved_ids
5179,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
4443,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
14307,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
8204,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
2761,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16567,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
11969,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
12111,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
13285,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
5548,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
21284,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
24636,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
17313,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
24774,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
1684,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
7141,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
10800,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
22621,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
10508,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
24193,technical_linguistic_sentiment_voting,phishing,phishing,0.5,,
26371,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
15789,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
5177,technical_linguistic_sentiment_voting,legitimate,phishing,1.0,,
20308,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
7858,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
20616,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
25604,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
14163,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
9749,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
6204,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
3918,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
27324,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
10499,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
17964,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
9858,technical_linguistic_sentiment_voting,phishing,phishing,0.5,,
21147,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
8852,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
29102,technical_linguistic_sentiment_voting,phishing,phishing,0.5,,
632,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16484,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
9295,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
16010,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
60,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
7120,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
10463,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
12771,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
7982,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
23993,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
26184,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
19179,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
13534,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
8617,technical_linguistic_sentiment_voting,legitimate,phishing,0.67,,
10097,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
4185,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
11826,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
13034,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
11506,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
29220,technical_linguistic_sentiment_voting,phishing,phishing,0.5,,
13690,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
19599,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
25291,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
7716,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
21163,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
24183,technical_linguistic_sentiment_voting,phishing,legitimate,0.67,,
26433,technical_linguistic_sentiment_voting,phishing,legitimate,0.67,,
21008,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
6549,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
8824,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
23785,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
22211,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
19400,technical_linguistic_sentiment_voting,phishing,legitimate,0.67,,
20172,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
10935,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
21954,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
9721,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
20065,technical_linguistic_sentiment_voting,phishing,phishing,0.5,,
6735,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
10843,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
25333,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
1716,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
17536,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
17600,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
19985,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
8407,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16062,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
24097,technical_linguistic_sentiment_voting,phishing,legitimate,0.67,,
12313,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
11432,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
2207,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
7441,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
345,technical_linguistic_sentiment_voting,legitimate,phishing,0.67,,
16219,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
7802,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
25789,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16836,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
6093,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
13126,technical_linguistic_sentiment_voting,legitimate,phishing,0.67,,
25417,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
689,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
27894,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
12046,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
4503,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
15075,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
96,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
28842,technical_linguistic_sentiment_voting,phishing,phishing,0.5,,
12966,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
22857,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
3267,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
25744,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16105,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
25854,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
6183,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
24154,technical_linguistic_sentiment_voting,phishing,legitimate,1.0,,
10427,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
27565,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
7099,technical_linguistic_sentiment_voting,legitimate,phishing,1.0,,
25323,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
1897,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
3312,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
9681,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
11847,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
26963,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
11815,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
27947,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
21682,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
25387,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
14224,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
22831,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
13805,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
964,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
21550,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
17446,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
27594,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
766,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
5359,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
10932,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
26559,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
8648,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16622,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
18571,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
4785,technical_linguistic_sentiment_voting,phishing,legitimate,0.67,,
17149,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
8136,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
24842,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
17235,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
26856,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
13963,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
26489,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
11710,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
25653,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
19405,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
10783,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
21765,technical_linguistic_sentiment_voting,legitimate,phishing,0.67,,
1905,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
26600,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
5487,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
7354,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
15180,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
29403,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
1544,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
2787,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
19076,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
3198,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
7059,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
2241,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
24665,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
6469,technical_linguistic_sentiment_voting,legitimate,phishing,0.5,,
9888,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
17517,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
6615,technical_linguistic_sentiment_voting,legitimate,legitimate,0.67,,
7916,technical_linguistic_sentiment_voting,legitimate,phishing,0.67,,
22126,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
28794,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
13318,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
26654,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
23304,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
22708,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
4278,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
6416,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
16130,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
21841,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
23969,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
15609,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
9874,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
22342,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
15814,technical_linguistic_sentiment_voting,phishing,phishing,0.67,,
7768,technical_linguistic_sentiment_voting,legitimate,phishing,0.67,,
3680,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
29114,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
12094,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
15575,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
20868,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
14861,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
4825,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
29417,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
14171,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
8045,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
3956,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
7404,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
311,technical_linguistic_sentiment_voting,legitimate,legitimate,1.0,,
9188,technical_linguistic_sentiment_voting,phishing,phishing,1.0,,
