email_id,agent_name,true_label,prediction,confidence,rag_retrieved_labels,rag_retrieved_ids
5179,linguistic_sentiment,legitimate,phishing,0.8,,
4443,linguistic_sentiment,phishing,phishing,0.8,,
14307,linguistic_sentiment,legitimate,legitimate,0.85,,
8204,linguistic_sentiment,legitimate,legitimate,0.95,,
2761,linguistic_sentiment,legitimate,legitimate,0.95,,
16567,linguistic_sentiment,legitimate,legitimate,0.85,,
11969,linguistic_sentiment,legitimate,legitimate,0.95,,
12111,linguistic_sentiment,legitimate,legitimate,0.95,,
13285,linguistic_sentiment,legitimate,legitimate,0.85,,
5548,linguistic_sentiment,legitimate,phishing,0.7,,
21284,linguistic_sentiment,legitimate,legitimate,0.95,,
24636,linguistic_sentiment,legitimate,legitimate,0.85,,
17313,linguistic_sentiment,phishing,phishing,0.85,,
24774,linguistic_sentiment,legitimate,legitimate,0.95,,
1684,linguistic_sentiment,legitimate,legitimate,0.85,,
7141,linguistic_sentiment,legitimate,legitimate,0.95,,
10800,linguistic_sentiment,legitimate,legitimate,0.75,,
22621,linguistic_sentiment,phishing,phishing,0.85,,
10508,linguistic_sentiment,phishing,legitimate,0.8,,
24193,linguistic_sentiment,phishing,phishing,0.75,,
26371,linguistic_sentiment,phishing,phishing,0.85,,
15789,linguistic_sentiment,phishing,phishing,0.8,,
5177,linguistic_sentiment,legitimate,phishing,0.75,,
20308,linguistic_sentiment,phishing,phishing,0.85,,
7858,linguistic_sentiment,legitimate,phishing,0.8,,
20616,linguistic_sentiment,phishing,phishing,0.75,,
25604,linguistic_sentiment,legitimate,phishing,0.75,,
14163,linguistic_sentiment,legitimate,phishing,0.75,,
9749,linguistic_sentiment,phishing,phishing,0.8,,
6204,linguistic_sentiment,legitimate,phishing,0.75,,
3918,linguistic_sentiment,phishing,phishing,0.75,,
27324,linguistic_sentiment,phishing,phishing,0.85,,
10499,linguistic_sentiment,phishing,phishing,0.8,,
17964,linguistic_sentiment,phishing,phishing,0.85,,
9858,linguistic_sentiment,phishing,phishing,0.7,,
21147,linguistic_sentiment,legitimate,legitimate,0.85,,
8852,linguistic_sentiment,legitimate,legitimate,0.95,,
29102,linguistic_sentiment,phishing,phishing,0.85,,
632,linguistic_sentiment,legitimate,legitimate,0.95,,
16484,linguistic_sentiment,legitimate,phishing,0.75,,
9295,linguistic_sentiment,phishing,phishing,0.85,,
16010,linguistic_sentiment,legitimate,phishing,0.75,,
60,linguistic_sentiment,legitimate,phishing,0.75,,
7120,linguistic_sentiment,legitimate,legitimate,0.95,,
10463,linguistic_sentiment,phishing,phishing,0.85,,
12771,linguistic_sentiment,legitimate,legitimate,0.85,,
7982,linguistic_sentiment,legitimate,legitimate,0.95,,
23993,linguistic_sentiment,phishing,legitimate,0.7,,
26184,linguistic_sentiment,phishing,phishing,0.85,,
19179,linguistic_sentiment,phishing,phishing,0.85,,
13534,linguistic_sentiment,legitimate,legitimate,0.95,,
8617,linguistic_sentiment,legitimate,phishing,0.7,,
10097,linguistic_sentiment,phishing,phishing,0.7,,
