email_id,agent_name,true_label,prediction,confidence,rag_retrieved_labels,rag_retrieved_ids
5179,linguistic_technical_sentiment,legitimate,phishing,0.75,,
4443,linguistic_technical_sentiment,phishing,phishing,0.75,,
14307,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
8204,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
2761,linguistic_technical_sentiment,legitimate,phishing,0.7,,
16567,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
11969,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
12111,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
13285,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
5548,linguistic_technical_sentiment,legitimate,phishing,0.75,,
21284,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
24636,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
17313,linguistic_technical_sentiment,phishing,phishing,0.75,,
24774,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
1684,linguistic_technical_sentiment,legitimate,phishing,0.7,,
7141,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
10800,linguistic_technical_sentiment,legitimate,phishing,0.75,,
22621,linguistic_technical_sentiment,phishing,phishing,0.85,,
10508,linguistic_technical_sentiment,phishing,phishing,0.8,,
24193,linguistic_technical_sentiment,phishing,phishing,0.75,,
26371,linguistic_technical_sentiment,phishing,phishing,0.75,,
15789,linguistic_technical_sentiment,phishing,phishing,0.8,,
5177,linguistic_technical_sentiment,legitimate,phishing,0.7,,
20308,linguistic_technical_sentiment,phishing,phishing,0.8,,
7858,linguistic_technical_sentiment,legitimate,phishing,0.75,,
20616,linguistic_technical_sentiment,phishing,phishing,0.8,,
25604,linguistic_technical_sentiment,legitimate,phishing,0.7,,
14163,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
9749,linguistic_technical_sentiment,phishing,phishing,0.85,,
6204,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
3918,linguistic_technical_sentiment,phishing,phishing,0.75,,
27324,linguistic_technical_sentiment,phishing,phishing,0.7,,
10499,linguistic_technical_sentiment,phishing,phishing,0.8,,
17964,linguistic_technical_sentiment,phishing,phishing,0.85,,
9858,linguistic_technical_sentiment,phishing,legitimate,0.6,,
21147,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
8852,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
29102,linguistic_technical_sentiment,phishing,phishing,0.75,,
632,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
16484,linguistic_technical_sentiment,legitimate,phishing,0.7,,
9295,linguistic_technical_sentiment,phishing,phishing,0.85,,
16010,linguistic_technical_sentiment,legitimate,phishing,0.75,,
60,linguistic_technical_sentiment,legitimate,phishing,0.7,,
7120,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
10463,linguistic_technical_sentiment,phishing,phishing,0.85,,
12771,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
7982,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
23993,linguistic_technical_sentiment,phishing,phishing,0.7,,
26184,linguistic_technical_sentiment,phishing,phishing,0.95,,
19179,linguistic_technical_sentiment,phishing,phishing,0.75,,
13534,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
8617,linguistic_technical_sentiment,legitimate,phishing,0.75,,
10097,linguistic_technical_sentiment,phishing,phishing,0.75,,
4185,linguistic_technical_sentiment,phishing,phishing,0.75,,
11826,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
13034,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
11506,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
29220,linguistic_technical_sentiment,phishing,phishing,0.75,,
13690,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
19599,linguistic_technical_sentiment,phishing,phishing,0.85,,
25291,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
7716,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
21163,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
24183,linguistic_technical_sentiment,phishing,legitimate,0.95,,
26433,linguistic_technical_sentiment,phishing,legitimate,0.75,,
21008,linguistic_technical_sentiment,phishing,phishing,0.85,,
6549,linguistic_technical_sentiment,legitimate,legitimate,0.75,,
8824,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
23785,linguistic_technical_sentiment,phishing,phishing,0.75,,
22211,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
19400,linguistic_technical_sentiment,phishing,phishing,0.75,,
20172,linguistic_technical_sentiment,phishing,phishing,0.85,,
10935,linguistic_technical_sentiment,legitimate,legitimate,0.75,,
21954,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
9721,linguistic_technical_sentiment,phishing,phishing,0.95,,
20065,linguistic_technical_sentiment,phishing,phishing,0.75,,
6735,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
10843,linguistic_technical_sentiment,legitimate,phishing,0.7,,
25333,linguistic_technical_sentiment,legitimate,phishing,0.7,,
1716,linguistic_technical_sentiment,legitimate,phishing,0.7,,
17536,linguistic_technical_sentiment,phishing,phishing,0.85,,
17600,linguistic_technical_sentiment,phishing,phishing,0.7,,
19985,linguistic_technical_sentiment,phishing,phishing,0.85,,
8407,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
16062,linguistic_technical_sentiment,legitimate,phishing,0.75,,
24097,linguistic_technical_sentiment,phishing,phishing,0.7,,
12313,linguistic_technical_sentiment,legitimate,legitimate,0.7,,
11432,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
2207,linguistic_technical_sentiment,legitimate,phishing,0.75,,
7441,linguistic_technical_sentiment,legitimate,legitimate,0.75,,
345,linguistic_technical_sentiment,legitimate,phishing,0.7,,
16219,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
7802,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
25789,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
16836,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
6093,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
13126,linguistic_technical_sentiment,legitimate,phishing,0.75,,
25417,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
689,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
27894,linguistic_technical_sentiment,phishing,phishing,0.85,,
12046,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
4503,linguistic_technical_sentiment,phishing,phishing,0.75,,
15075,linguistic_technical_sentiment,phishing,phishing,0.85,,
96,linguistic_technical_sentiment,legitimate,phishing,0.8,,
28842,linguistic_technical_sentiment,phishing,phishing,0.8,,
12966,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
22857,linguistic_technical_sentiment,phishing,phishing,0.75,,
3267,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
25744,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
16105,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
25854,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
6183,linguistic_technical_sentiment,legitimate,legitimate,0.8,,
24154,linguistic_technical_sentiment,phishing,phishing,0.7,,
10427,linguistic_technical_sentiment,phishing,phishing,0.85,,
27565,linguistic_technical_sentiment,phishing,phishing,0.8,,
7099,linguistic_technical_sentiment,legitimate,phishing,0.85,,
25323,linguistic_technical_sentiment,legitimate,legitimate,0.95,,
